ip.id,tcp.time_relative
0x60ab,0.044806000
0x60ac,0.087422000
0x60ad,0.087430000
0x60ae,0.093122000
0x60af,0.105020000
0x60b0,0.117164000
0x60b1,0.129421000
0x60b2,0.141515000
0x60b3,0.153528000
0x60b4,0.165951000
0x60b5,0.178080000
0x60b6,0.190611000
0x60b7,0.202356000
0x60b8,0.214209000
0x60b9,0.226153000
0x60ba,0.238781000
0x60bb,0.250841000
0x60bc,0.263200000
0x60bd,0.274879000
0x60be,0.286843000
0x60bf,0.299903000
0x60c0,0.311301000
0x60c1,0.323273000
0x60c2,0.336748000
0x60c3,0.347872000
0x60c4,0.359549000
0x60c5,0.371831000
0x60c6,0.385516000
0x60c7,0.396421000
0x60c8,0.410217000
0x60c9,0.420275000
0x60ca,0.434583000
0x60cb,0.444380000
0x60cc,0.456945000
0x60cd,0.468654000
0x60ce,0.481778000
0x60cf,0.493218000
0x60d0,0.505019000
0x60d1,0.517221000
0x60d2,0.531795000
0x60d3,0.541489000
0x60d4,0.555987000
0x60d5,0.565724000
0x60d6,0.578468000
0x60d7,0.589975000
0x60d8,0.603089000
0x60d9,0.614083000
0x60da,0.626363000
0x60db,0.638470000
0x60dc,0.651538000
0x60dd,0.662287000
0x60de,0.674489000
0x60df,0.686824000
0x60e0,0.700024000
0x60e1,0.710967000
0x60e3,0.725402000
0x60e4,0.735603000
0x60e5,0.746993000
0x60e6,0.759507000
0x60e7,0.771662000
0x60e8,0.783909000
0x60e9,0.795436000
0x60ea,0.807955000
0x60eb,0.819684000
0x60ec,0.831628000
0x60ed,0.843887000
0x60ee,0.855989000
0x60ef,0.868417000
0x60f0,0.880681000
0x60f1,0.892350000
0x60f2,0.904401000
0x60f3,0.916428000
0x60f4,0.928996000
0x60f5,0.940814000
0x60f6,0.952775000
0x60f7,0.964928000
0x60f8,0.977520000
0x60f9,0.989495000
0x60fa,1.001536000
0x60fb,1.013447000
0x60fd,1.025844000
0x60fe,1.037662000
0x60ff,1.049866000
0x6100,1.061810000
0x6101,1.074139000
0x6102,1.085982000
0x6103,1.098704000
0x6104,1.110586000
0x6105,1.122481000
0x6106,1.134882000
0x6107,1.146827000
0x6108,1.159562000
0x6109,1.171266000
0x610a,1.183155000
0x610b,1.195409000
0x610d,1.207890000
0x610e,1.219335000
0x610f,1.231777000
0x6110,1.244281000
0x6111,1.256292000
0x6112,1.280150000
0x6113,1.280161000
0x6114,1.294620000
0x6115,1.304502000
0x6116,1.316352000
0x6117,1.328852000
0x6118,1.341273000
0x6119,1.352476000
0x611a,1.364985000
0x611b,1.376889000
0x611c,1.389003000
0x611d,1.401215000
0x611e,1.413191000
0x611f,1.425734000
0x6120,1.437674000
0x6121,1.449738000
0x6122,1.464451000
0x6123,1.475308000
0x6124,1.488318000
0x6125,1.497919000
0x6126,1.510765000
0x6127,1.522905000
0x6128,1.534673000
0x6129,1.546491000
0x612a,1.561409000
0x612b,1.571109000
0x612c,1.586089000
0x612d,1.597616000
0x612e,1.610285000
0x612f,1.620766000
0x6130,1.633827000
0x6131,1.643492000
0x6132,1.655415000
0x6133,1.667817000
0x6134,1.681624000
0x6135,1.692077000
0x6136,1.704050000
0x6137,1.716569000
0x6138,1.730023000
0x6139,1.740466000
0x613a,1.755111000
0x613b,1.764936000
0x613c,1.779255000
0x613d,1.789046000
0x613e,1.803546000
0x613f,1.812862000
0x6140,1.826447000
0x6141,1.838482000
0x6142,1.850361000
0x6143,1.863564000
0x6144,1.873522000
0x6146,1.887585000
0x6147,1.898152000
0x6148,1.909969000
0x6149,1.922651000
0x614a,1.934565000
0x614b,1.946853000
0x614c,1.978269000
0x614d,1.978281000
0x614e,1.983241000
0x614f,2.022932000
0x6150,2.022959000
0x6151,2.032680000
0x6152,2.049296000
0x6153,2.062884000
0x6154,2.062899000
0x6155,2.077681000
0x6156,2.087567000
0x6157,2.099245000
0x6158,2.111512000
0x6159,2.123381000
0x615a,2.137498000
0x615b,2.147830000
0x615c,2.159791000
0x615d,2.171970000
0x615e,2.185857000
0x615f,2.196685000
0x6160,2.211042000
0x6161,2.222551000
0x6162,2.234833000
0x6163,2.244579000
0x6164,2.259600000
0x6165,2.269406000
0x6166,2.283702000
0x6167,2.293421000
0x6168,2.305340000
0x6169,2.317290000
0x616a,2.329472000
0x616b,2.341660000
0x616c,2.354294000
0x616d,2.368486000
0x616e,2.378208000
0x616f,2.390915000
0x6170,2.402401000
0x6171,2.414203000
0x6172,2.428380000
0x6173,2.438672000
0x6174,2.452098000
0x6175,2.463277000
0x6176,2.476959000
0x6177,2.487260000
0x6178,2.500171000
0x6179,2.513773000
0x617a,2.523359000
0x617c,2.537512000
0x617d,2.547862000
0x617e,2.559757000
0x617f,2.572072000
0x6180,2.584161000
0x6181,2.596243000
0x6182,2.607867000
0x6183,2.620500000
0x6184,2.632291000
0x6185,2.644198000
0x6186,2.656585000
0x6187,2.668455000
0x6188,2.680764000
0x6189,2.692936000
0x618a,2.705532000
0x618b,2.719738000
0x618c,2.729673000
0x618d,2.742415000
0x618e,2.753615000
0x618f,2.765498000
0x6190,2.778283000
0x6191,2.791681000
0x6192,2.802007000
0x6193,2.815874000
0x6194,2.826005000
0x6195,2.838814000
0x6196,2.852955000
0x6197,2.862638000
0x6198,2.877327000
0x6199,2.887028000
0x619a,2.900807000
0x619b,2.910941000
0x619c,2.923374000
0x619d,2.935389000
0x619e,2.947334000
0x619f,2.961960000
0x61a0,2.972053000
0x61a1,2.983422000
0x61a2,2.997524000
0x61a3,3.008138000
0x61a4,3.022584000
0x61a5,3.032424000
0x61a6,3.044432000
0x61a7,3.056538000
0x61a8,3.068207000
0x61a9,3.080889000
0x61ab,3.092397000
0x61ac,3.104435000
0x61ad,3.116818000
0x61ae,3.128813000
0x61af,3.140835000
0x61b0,3.153368000
0x61b1,3.165206000
0x61b2,3.177155000
0x61b3,3.189406000
0x61b4,3.201808000
0x61b5,3.213603000
0x61b6,3.225843000
0x61b8,3.238158000
0x61b9,3.252846000
0x61ba,3.262466000
0x61bb,3.274099000
0x61bc,3.286964000
0x61bd,3.298503000
0x61be,3.310710000
0x61bf,3.322822000
0x61c0,3.334774000
0x61c1,3.347625000
0x61c2,3.359353000
0x61c3,3.370967000
0x61c4,3.392188000
0x61c5,3.395823000
0x61c6,3.416352000
0x61c7,3.420145000
0x61c8,3.432385000
0x61c9,3.444232000
0x61ca,3.457465000
0x61cb,3.469376000
0x61cc,3.479973000
0x61cd,3.502546000
0x61ce,3.504576000
0x61cf,3.519236000
0x61d0,3.529222000
0x61d2,3.549216000
0x61d3,3.552916000
0x61d4,3.570751000
0x61d5,3.577671000
0x61d6,3.592541000
0x61d7,3.613446000
0x61d9,3.634109000
0x61da,3.678074000
0x61db,3.678112000
0x61dc,3.683552000
0x61dd,3.699396000
0x61de,3.727125000
0x61df,3.745671000
0x61e0,3.789761000
0x61e1,3.789797000
0x61e2,3.795146000
0x61e3,3.834953000
0x61e4,3.834992000
0x61e5,3.880229000
0x61e6,3.880336000
0x61e7,3.923475000
0x61e8,3.923523000
0x61e9,3.967561000
0x61eb,3.967629000
0x61ec,4.013242000
0x61ed,4.013285000
0x61ee,4.018739000
0x61ef,4.031145000
0x61f0,4.061581000
0x61f1,4.071808000
0x61f2,4.112480000
0x61f3,4.112491000
0x61f4,4.117911000
0x61f5,4.152940000
0x61f6,4.152954000
0x61f7,4.198004000
0x61f8,4.198028000
0x61f9,4.246085000
0x61fa,4.246099000
0x61fb,4.251487000
0x61fc,4.292372000
0x61fd,4.292429000
0x61fe,4.297372000
0x61ff,4.339927000
0x6200,4.339992000
0x6201,4.344607000
0x6202,4.387114000
0x6204,4.387153000
0x6205,4.432344000
0x6206,4.432386000
0x6207,4.437852000
0x6208,4.449482000
0x6209,4.461033000
0x620a,4.473817000
0x620b,4.496828000
0x620c,4.504341000
0x620d,4.540707000
0x620e,4.540781000
0x620f,4.546199000
0x6210,4.585369000
0x6211,4.585414000
0x6212,4.590792000
0x6213,4.629976000
0x6214,4.630013000
0x6215,4.635408000
0x6216,4.673707000
0x6218,4.673750000
0x6219,4.714115000
0x621a,4.714140000
0x621b,4.719561000
0x621c,4.733504000
0x621d,4.764531000
0x621e,4.774688000
0x621f,4.821809000
0x6220,4.821847000
0x6221,4.826835000
0x6222,4.866052000
0x6223,4.866145000
0x6224,4.915090000
0x6225,4.915138000
0x6226,4.960326000
0x6227,4.960452000
0x6228,4.965623000
0x6229,5.006120000
0x622a,5.006192000
0x622b,5.011496000
0x622c,5.048597000
0x622d,5.048619000
0x622e,5.052951000
0x622f,5.089081000
0x6230,5.089092000
0x6231,5.093995000
0x6232,5.105541000
0x6233,5.130907000
0x6234,5.130914000
0x6235,5.141870000
0x6236,5.154111000
0x6237,5.166865000
0x6238,5.179087000
0x6239,5.190959000
0x623a,5.204158000
0x623b,5.214982000
0x623c,5.228859000
0x623d,5.239287000
0x623e,5.254308000
0x623f,5.264412000
0x6240,5.285863000
0x6241,5.287545000
0x6242,5.299912000
0x6243,5.311879000
0x6244,5.325188000
0x6245,5.335695000
0x6246,5.348430000
0x6247,5.360011000
0x6248,5.374998000
0x6249,5.385039000
0x624a,5.399074000
0x624b,5.408744000
0x624c,5.420468000
0x624d,5.434226000
0x624e,5.445281000
0x624f,5.457085000
0x6251,5.469701000
0x6252,5.483880000
0x6253,5.493356000
0x6254,5.505722000
0x6255,5.517959000
0x6256,5.529511000
0x6257,5.541595000
0x6258,5.553829000
0x6259,5.565895000
0x625a,5.578090000
0x625b,5.590528000
0x625c,5.605162000
0x625e,5.614944000
0x625f,5.634451000
0x6260,5.639311000
0x6261,5.656530000
0x6262,5.663166000
0x6263,5.677471000
0x6264,5.687215000
0x6265,5.699907000
0x6266,5.712057000
0x6267,5.723587000
0x6268,5.735933000
0x6269,5.757529000
0x626a,5.760123000
0x626b,5.781504000
0x626c,5.784381000
0x626d,5.798631000
0x626e,5.808794000
0x626f,5.823030000
0x6270,5.832493000
0x6271,5.844524000
0x6272,5.857929000
0x6273,5.869130000
0x6274,5.882848000
0x6275,5.893615000
0x6276,5.905198000
0x6277,5.917706000
0x6278,5.929717000
0x6279,5.942700000
0x627a,5.953860000
0x627b,5.966870000
0x627c,5.978392000
0x627d,5.992527000
0x627e,6.002097000
0x627f,6.015373000
0x6280,6.026295000
0x6281,6.038671000
