ip.id,tcp.time_relative
0x60ab,1.057373000
0x60ac,1.100709000
0x60ad,1.100710000
0x60ae,1.100720000
0x60af,1.100720000
0x60b0,1.100723000
0x60b1,1.100724000
0x60b2,1.100726000
0x60b3,1.100726000
0x60b4,1.100728000
0x60b5,1.100729000
0x60b6,1.141057000
0x60b7,1.141057000
0x60b8,1.141059000
0x60b9,1.141059000
0x60ba,1.146870000
0x60bb,1.146871000
0x60bc,1.158420000
0x60bd,1.158421000
0x60be,1.170546000
0x60bf,1.170546000
0x60c0,1.183196000
0x60c1,1.183197000
0x60c2,1.196889000
0x60c3,1.196890000
0x60c4,1.208844000
0x60c5,1.208845000
0x60c6,1.219863000
0x60c7,1.219864000
0x60c8,1.233177000
0x60c9,1.233178000
0x60ca,1.246172000
0x60cb,1.246173000
0x60cc,1.258301000
0x60cd,1.258302000
0x60ce,1.269059000
0x60cf,1.269060000
0x60d0,1.281489000
0x60d1,1.281490000
0x60d2,1.292673000
0x60d3,1.292674000
0x60d4,1.306259000
0x60d5,1.306260000
0x60d6,1.318854000
0x60d7,1.318855000
0x60d8,1.329259000
0x60d9,1.329260000
0x60da,1.353721000
0x60db,1.353722000
0x60dc,1.377601000
0x60dd,1.377602000
0x60de,1.402880000
0x60df,1.402881000
0x60e0,1.425922000
0x60e1,1.425923000
0x60e2,1.451521000
0x60e3,1.451522000
0x60e4,1.475197000
0x60e5,1.475198000
0x60e6,1.500228000
0x60e7,1.500229000
0x60e8,1.522983000
0x60e9,1.522985000
0x60ea,1.548524000
0x60eb,1.548525000
0x60ec,1.572079000
0x60ed,1.572081000
0x60ee,1.572185000
0x60ef,1.596301000
0x60f0,1.596302000
0x60f1,1.620702000
0x60f2,1.620704000
0x60f3,1.645214000
0x60f4,1.645215000
0x60f5,1.668694000
0x60f6,1.668695000
0x60f7,1.693678000
0x60f8,1.693679000
0x60f9,1.717702000
0x60fa,1.717703000
0x60fb,1.742051000
0x60fc,1.742052000
0x60fd,1.764842000
0x60fe,1.764849000
0x60ff,1.779190000
0x6100,1.790265000
0x6101,1.801783000
0x6102,1.814568000
0x6103,1.841279000
0x6104,1.852216000
0x6105,1.876532000
0x6106,1.888607000
0x6107,1.911253000
0x6108,1.924855000
0x6109,1.949621000
0x610a,1.960226000
0x610b,1.973250000
0x610c,1.996032000
0x610d,2.008230000
0x610e,2.033394000
0x610f,2.046056000
0x6110,2.081090000
0x6111,2.081097000
0x6112,2.093062000
0x6113,2.104879000
0x6114,2.117404000
0x6115,2.127819000
0x6116,2.139742000
0x6117,2.152140000
0x6118,2.164425000
0x6119,2.176188000
0x611a,2.188319000
0x611b,2.202049000
0x611c,2.215064000
0x611d,2.226752000
0x611e,2.237349000
0x611f,2.262866000
0x6120,2.262885000
0x6121,2.262887000
0x6122,2.273479000
0x6123,2.285833000
0x6124,2.313468000
0x6125,2.313476000
0x6126,2.334671000
0x6127,2.348460000
0x6128,2.359052000
0x6129,2.385636000
0x612a,2.398310000
0x612b,2.422321000
0x612c,2.432560000
0x612d,2.445834000
0x612e,2.468943000
0x612f,2.481321000
0x6130,2.530592000
0x6131,2.530594000
0x6132,2.552082000
0x6133,2.552083000
0x6134,2.578494000
0x6135,2.578502000
