ip.id,tcp.time_relative
0x1d81,0.045703000
0x1d82,0.095718000
0x1d83,0.095736000
0x1d84,0.102450000
0x1d85,0.116028000
0x1d86,0.125961000
0x1d87,0.137674000
0x1d88,0.149886000
0x1d89,0.162219000
0x1d8a,0.174251000
0x1d8b,0.186419000
0x1d8c,0.198158000
0x1d8d,0.210192000
0x1d8e,0.235996000
0x1d8f,0.239675000
0x1d90,0.247967000
0x1d91,0.259303000
0x1d92,0.270876000
0x1d93,0.282813000
0x1d94,0.294886000
0x1d95,0.307113000
0x1d96,0.319326000
0x1d97,0.331970000
0x1d98,0.346148000
0x1d99,0.356010000
0x1d9a,0.370474000
0x1d9b,0.380221000
0x1d9c,0.394746000
0x1d9d,0.404441000
0x1d9f,0.416740000
0x1da0,0.428683000
0x1da1,0.441034000
0x1da2,0.452724000
0x1da3,0.464784000
0x1da4,0.477635000
0x1da5,0.504679000
0x1da6,0.506256000
0x1da7,0.513655000
0x1da8,0.527538000
0x1da9,0.537309000
0x1daa,0.551926000
0x1dab,0.561692000
0x1dac,0.575374000
0x1dad,0.585752000
0x1dae,0.599344000
0x1daf,0.610266000
0x1db0,0.622698000
0x1db1,0.634111000
0x1db2,0.646302000
0x1db3,0.658753000
0x1db4,0.670861000
0x1db5,0.682509000
0x1db6,0.694583000
0x1db7,0.706817000
0x1db8,0.718994000
0x1db9,0.731085000
0x1dba,0.743630000
0x1dbb,0.755315000
0x1dbc,0.767499000
0x1dbd,0.779538000
0x1dbe,0.792538000
0x1dbf,0.803780000
0x1dc0,0.816363000
0x1dc1,0.829527000
0x1dc2,0.839938000
0x1dc3,0.853353000
0x1dc4,0.864516000
0x1dc5,0.876599000
0x1dc6,0.888818000
0x1dc7,0.900870000
0x1dc8,0.913114000
0x1dc9,0.925176000
0x1dca,0.937225000
0x1dcb,0.949206000
0x1dcc,0.961150000
0x1dcd,0.973295000
0x1dce,0.985803000
0x1dcf,0.998121000
0x1dd0,1.009938000
0x1dd1,1.021940000
0x1dd2,1.034146000
0x1dd3,1.046554000
0x1dd4,1.058356000
0x1dd5,1.070828000
0x1dd6,1.082630000
0x1dd8,1.095107000
0x1dd9,1.106822000
0x1dda,1.119047000
0x1ddb,1.131090000
0x1ddc,1.143607000
0x1ddd,1.155283000
0x1dde,1.166972000
0x1ddf,1.179518000
0x1de0,1.191264000
0x1de1,1.203734000
0x1de2,1.215956000
0x1de3,1.227669000
0x1de4,1.239813000
0x1de5,1.251884000
0x1de6,1.263860000
0x1de7,1.276774000
0x1de8,1.288239000
0x1de9,1.300563000
0x1dea,1.312817000
0x1deb,1.328938000
0x1dec,1.340479000
0x1dee,1.349907000
0x1def,1.360814000
0x1df0,1.372997000
0x1df1,1.385573000
0x1df2,1.397766000
0x1df3,1.409993000
0x1df4,1.421763000
0x1df5,1.433756000
0x1df6,1.447846000
0x1df7,1.458539000
0x1df8,1.470018000
0x1df9,1.482452000
0x1dfa,1.494520000
0x1dfb,1.506525000
0x1dfc,1.527302000
0x1dfd,1.531083000
0x1dfe,1.547873000
0x1dff,1.555223000
0x1e00,1.568099000
0x1e01,1.579523000
0x1e02,1.591232000
0x1e03,1.604536000
0x1e04,1.615539000
0x1e05,1.629704000
0x1e06,1.640003000
0x1e07,1.654174000
0x1e08,1.664092000
0x1e0a,1.675901000
0x1e0b,1.688525000
0x1e0c,1.700286000
0x1e0d,1.712408000
0x1e0e,1.724545000
0x1e0f,1.737065000
0x1e10,1.748486000
0x1e11,1.760876000
0x1e12,1.772741000
0x1e13,1.784784000
0x1e14,1.807468000
0x1e15,1.815727000
0x1e16,1.853088000
0x1e17,1.853167000
0x1e18,1.858004000
0x1e19,1.899573000
0x1e1b,1.899649000
0x1e1c,1.945222000
0x1e1d,1.945256000
0x1e1e,1.950671000
0x1e20,1.962318000
0x1e21,1.986636000
0x1e22,2.004455000
0x1e23,2.028280000
0x1e24,2.051606000
0x1e25,2.096057000
0x1e26,2.096090000
0x1e27,2.100523000
0x1e28,2.142426000
0x1e29,2.142507000
0x1e2a,2.147754000
0x1e2b,2.183288000
0x1e2c,2.183314000
0x1e2d,2.187801000
0x1e2e,2.223862000
0x1e2f,2.223876000
0x1e30,2.228597000
0x1e31,2.240370000
0x1e32,2.264706000
0x1e33,2.264715000
0x1e34,2.278579000
0x1e35,2.289401000
0x1e36,2.303247000
0x1e37,2.313318000
0x1e38,2.328079000
0x1e39,2.337809000
0x1e3a,2.352248000
0x1e3b,2.361970000
0x1e3c,2.376358000
0x1e3d,2.386205000
0x1e3e,2.398390000
0x1e3f,2.410291000
0x1e40,2.424388000
0x1e41,2.435758000
0x1e42,2.446456000
0x1e43,2.461247000
0x1e44,2.471084000
0x1e45,2.485457000
0x1e46,2.495211000
0x1e47,2.507462000
0x1e48,2.519353000
0x1e49,2.533520000
0x1e4a,2.543628000
0x1e4b,2.557038000
0x1e4c,2.567811000
0x1e4d,2.582947000
0x1e4e,2.592199000
0x1e4f,2.606076000
0x1e50,2.617120000
0x1e51,2.628756000
0x1e52,2.642850000
0x1e53,2.652857000
0x1e54,2.667030000
0x1e55,2.676688000
0x1e56,2.691096000
0x1e57,2.701161000
0x1e58,2.713851000
0x1e59,2.725170000
0x1e5a,2.739941000
0x1e5b,2.749597000
0x1e5c,2.764115000
0x1e5d,2.773738000
0x1e5e,2.787588000
0x1e5f,2.798317000
0x1e60,2.812438000
0x1e61,2.822196000
0x1e62,2.836168000
0x1e63,2.846874000
0x1e64,2.858594000
0x1e65,2.870725000
0x1e66,2.883132000
0x1e67,2.895330000
0x1e68,2.907201000
0x1e69,2.921556000
0x1e6a,2.931027000
0x1e6b,2.945478000
0x1e6c,2.955473000
0x1e6d,2.972362000
0x1e6e,2.979947000
0x1e6f,2.992975000
0x1e70,3.004134000
0x1e71,3.018461000
0x1e72,3.028035000
0x1e73,3.041016000
0x1e74,3.052609000
0x1e75,3.066728000
0x1e76,3.076822000
0x1e77,3.090018000
0x1e78,3.100667000
0x1e79,3.113330000
0x1e7a,3.125166000
0x1e7b,3.137932000
0x1e7c,3.149048000
0x1e7d,3.160860000
0x1e7e,3.173829000
0x1e7f,3.185081000
0x1e80,3.197160000
0x1e81,3.209434000
0x1e82,3.221767000
0x1e83,3.233770000
0x1e84,3.246000000
0x1e85,3.258446000
0x1e86,3.269950000
0x1e87,3.282203000
0x1e88,3.297004000
0x1e89,3.306785000
0x1e8a,3.321225000
0x1e8b,3.331102000
0x1e8c,3.345377000
0x1e8d,3.355058000
0x1e8e,3.369716000
0x1e8f,3.379449000
0x1e90,3.392031000
0x1e91,3.403634000
0x1e92,3.415266000
0x1e93,3.428114000
0x1e94,3.441784000
0x1e95,3.451981000
0x1e96,3.465282000
0x1e97,3.476377000
0x1e98,3.490691000
0x1e99,3.502876000
0x1e9a,3.543286000
0x1e9b,3.543309000
0x1e9c,3.548037000
0x1e9d,3.562483000
0x1e9e,3.572460000
0x1e9f,3.586791000
0x1ea0,3.596542000
0x1ea1,3.609288000
0x1ea2,3.620683000
0x1ea3,3.635346000
0x1ea4,3.645090000
0x1ea5,3.657991000
0x1ea6,3.669096000
0x1ea7,3.683775000
0x1ea8,3.693747000
0x1ea9,3.705652000
0x1eaa,3.717216000
0x1eab,3.732332000
0x1eac,3.742131000
0x1ead,3.754466000
0x1eae,3.766344000
0x1eaf,3.777905000
0x1eb0,3.790090000
0x1eb1,3.804923000
0x1eb3,3.814690000
0x1eb4,3.827355000
0x1eb5,3.838674000
0x1eb6,3.850394000
0x1eb7,3.863156000
0x1eb8,3.874895000
0x1eba,3.886852000
0x1ebb,3.899088000
0x1ebc,3.911059000
0x1ebd,3.923174000
0x1ebe,3.937485000
0x1ebf,3.947703000
0x1ec1,3.961293000
0x1ec2,3.971970000
0x1ec3,3.985220000
0x1ec4,3.995855000
0x1ec5,4.008494000
0x1ec6,4.020175000
0x1ec7,4.032841000
0x1ec8,4.044699000
0x1ec9,4.056752000
0x1eca,4.068982000
0x1ecb,4.080742000
0x1ecd,4.092944000
0x1ece,4.107733000
0x1ecf,4.117589000
0x1ed0,4.129646000
0x1ed1,4.141285000
0x1ed2,4.153512000
0x1ed3,4.165777000
0x1ed4,4.177535000
0x1ed5,4.189641000
0x1ed6,4.201761000
0x1ed7,4.213867000
0x1ed8,4.226253000
0x1ed9,4.237959000
0x1eda,4.254261000
0x1edb,4.263245000
0x1edc,4.278755000
0x1edd,4.286570000
0x1ede,4.301523000
0x1edf,4.311597000
0x1ee0,4.323011000
0x1ee1,4.335391000
0x1ee2,4.347403000
0x1ee3,4.360527000
0x1ee5,4.371873000
0x1ee6,4.386360000
0x1ee7,4.396304000
0x1ee8,4.407698000
0x1ee9,4.419974000
0x1eea,4.431919000
0x1eeb,4.444063000
0x1eec,4.456534000
0x1eed,4.468161000
0x1eee,4.490135000
0x1eef,4.501121000
0x1ef0,4.533085000
0x1ef1,4.533129000
0x1ef2,4.538486000
0x1ef3,4.579062000
0x1ef4,4.579231000
0x1ef5,4.583577000
0x1ef6,4.625754000
0x1ef7,4.625847000
0x1ef8,4.630193000
0x1ef9,4.645640000
0x1efa,4.670882000
0x1efb,4.670915000
0x1efc,4.678513000
0x1efd,4.691931000
0x1efe,4.705473000
0x1eff,4.715080000
0x1f00,4.727867000
0x1f01,4.739460000
0x1f02,4.754035000
0x1f03,4.763810000
0x1f04,4.778299000
0x1f05,4.787942000
0x1f06,4.801524000
0x1f07,4.812887000
0x1f08,4.823923000
0x1f09,4.838950000
0x1f0a,4.848721000
0x1f0b,4.862893000
0x1f0c,4.872753000
0x1f0d,4.884662000
0x1f0e,4.896966000
0x1f0f,4.910359000
0x1f10,4.921145000
0x1f11,4.935846000
0x1f13,4.945570000
0x1f14,4.957181000
0x1f15,4.969511000
0x1f16,4.981644000
